,crop_name,province_state,region,crop_description,yield_kg_per_m2
0,Winter Wheat,ON,Province,"Winter Wheat, 10 year average",0.5815843648745929
1,Spring Wheat,ON,Province,"Spring Wheat, 10 year average",0.38645287698732894
2,Rye,ON,Province,"Rye, 10 year average",0.2959184491246077
3,Oats,ON,Province,"Oats, 10 year average",0.2976970858809276
4,Barley,ON,Province,"Barley, 10 year average",0.351399968145098
5,Corn,ON,Province,"Corn, 10 year average",1.3049622595516497
6,Canola,ON,Province,"Canola, 10 year average",0.2567282736101219
7,Soybeans,ON,Province,"Soybeans, 10 year average",0.3224976473450597
8,Dry White Beans,ON,Province,"Dry White Beans, 10 year average",0.15947984923561603
9,Potato,ON,Province,"Potato, 10 year average",2.4433845355294017
